joined,generation,inviter_joined,activated_card,first_purchase,fifth_purchase,last_activity,joined_bonus,days_till_activation,has_activated_card,days_till_first_purchase,days_till_fifth_purchase,fifth_purchase_bonus,currently_active,first_purchase_binned,fifth_purchase_binned
2021-01-01,GEN X,2020-03-22,,,,2021-04-10,10,-1,N,-1,-1,0,N,-1,-1
2021-01-01,GEN Y,2020-11-03,2021-01-08,2021-01-10,2021-01-13,2021-10-27,10,7,Y,9,12,10,Y,9,12
2021-01-01,GEN X,2020-02-08,,2021-01-14,,2021-02-10,10,-1,N,13,-1,0,N,13,-1
2021-01-01,GEN Z,2020-02-15,2021-01-16,2021-01-21,2021-01-24,2021-11-15,10,15,Y,20,23,10,Y,20,23
2021-01-01,GEN X,2019-07-13,2021-01-12,2021-01-12,2021-01-20,2021-11-15,10,11,Y,11,19,10,Y,11,19
2021-01-01,GEN Y,2020-09-09,2021-01-11,2021-01-02,2021-01-04,2021-11-11,10,10,Y,1,3,10,Y,1,3
2021-01-01,GEN X,2020-01-02,2021-01-14,2021-01-16,2021-01-20,2021-11-14,10,13,Y,15,19,10,Y,15,19
2021-01-01,GEN Z,2020-12-19,2021-01-18,2021-01-02,2021-01-05,2021-11-15,10,17,Y,1,4,10,Y,1,4
2021-01-01,GEN Z,2020-12-20,2021-01-12,2021-01-04,2021-01-07,2021-11-13,10,11,Y,3,6,10,Y,3,6
2021-01-01,GEN Z,2020-12-08,2021-02-16,2021-01-02,2021-01-05,2021-11-12,10,46,Y,1,4,10,Y,1,4
2021-01-01,GEN X,2020-10-24,2021-01-15,,,,10,14,Y,-1,-1,0,N,-1,-1
2021-01-01,GEN Y,2020-11-14,2021-01-21,2021-01-12,2021-01-26,2021-02-12,10,20,Y,11,25,10,N,11,25
2021-01-01,GEN Z,2020-04-10,2021-01-11,2021-01-05,2021-01-07,2021-11-14,10,10,Y,4,6,10,Y,4,6
2021-01-01,GEN Y,2019-10-10,2021-01-29,2021-06-09,2021-06-24,2021-11-14,10,28,Y,159,174,0,Y,>30,>30
2021-01-01,GEN Z,2020-04-30,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-01,GEN Z,2020-08-18,2021-01-11,2021-01-01,2021-01-12,2021-11-14,10,10,Y,0,11,10,Y,0,11
2021-01-01,GEN Y,2020-11-01,2021-01-11,,,2021-11-12,10,10,Y,-1,-1,0,Y,-1,-1
2021-01-01,GEN Z,2019-08-12,2021-09-07,2021-01-02,2021-01-07,2021-10-14,10,249,Y,1,6,10,N,1,6
2021-01-01,GEN Z,2020-11-22,2021-01-16,2021-01-01,2021-01-03,2021-11-07,10,15,Y,0,2,10,Y,0,2
2021-01-01,GEN Y,2020-11-11,,,,2021-01-01,10,-1,N,-1,-1,0,N,-1,-1
2021-01-01,GEN Z,2020-01-07,2021-01-11,2021-01-07,2021-01-13,2021-11-15,10,10,Y,6,12,10,Y,6,12
2021-01-01,GEN Y,2020-06-25,2021-01-14,2021-01-14,2021-01-15,2021-11-13,10,13,Y,13,14,10,Y,13,14
2021-01-01,GEN Z,2020-03-15,2021-01-14,2021-01-04,2021-01-07,2021-11-15,10,13,Y,3,6,10,Y,3,6
2021-01-01,BOOMER,2020-12-05,2021-01-28,2021-01-06,2021-01-28,2021-11-02,10,27,Y,5,27,10,Y,5,27
2021-01-01,GEN Z,2020-12-27,,2021-01-16,2021-01-22,2021-06-01,10,-1,N,15,21,10,N,15,21
2021-01-01,GEN Z,2019-08-17,2021-01-18,2021-01-19,2021-01-21,2021-11-14,10,17,Y,18,20,10,Y,18,20
2021-01-01,GEN Z,2019-06-12,2021-01-11,2021-01-17,,2021-01-17,10,10,Y,16,-1,0,N,16,-1
2021-01-01,GEN Z,2019-04-03,2021-08-31,2021-02-09,2021-02-10,2021-11-04,10,242,Y,39,40,0,Y,>30,>30
2021-01-01,GEN Z,2019-02-05,2021-01-12,2021-01-05,2021-01-05,2021-11-12,10,11,Y,4,4,10,Y,4,4
2021-01-01,GEN Z,2020-10-18,2021-01-12,2021-01-05,2021-01-31,2021-11-10,10,11,Y,4,30,10,Y,4,30
2021-01-01,GEN Y,2019-12-03,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-01,GEN Z,2020-05-24,2021-01-17,,,,10,16,Y,-1,-1,0,N,-1,-1
2021-01-01,GEN Y,2021-01-01,2021-01-16,2021-01-02,2021-01-04,2021-11-13,10,15,Y,1,3,10,Y,1,3
2021-01-01,GEN Z,2020-08-05,2021-01-13,2021-01-25,2021-01-28,2021-11-14,10,12,Y,24,27,10,Y,24,27
2021-01-01,GEN Z,2019-03-02,2021-01-11,2021-03-23,2021-03-23,2021-11-14,10,10,Y,81,81,0,Y,>30,>30
2021-01-01,GEN Y,2020-06-29,2021-01-16,2021-01-02,2021-01-10,2021-11-15,10,15,Y,1,9,10,Y,1,9
2021-01-01,GEN Y,2020-04-25,2021-01-29,2021-03-01,2021-03-19,2021-11-10,10,28,Y,59,77,0,Y,>30,>30
2021-01-01,GEN Y,2020-03-24,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-01,GEN Z,2020-12-15,2021-01-12,2021-02-05,2021-02-08,2021-11-12,10,11,Y,35,38,0,Y,>30,>30
2021-01-01,GEN Y,2019-04-04,2021-01-16,2021-01-03,2021-01-06,2021-11-14,10,15,Y,2,5,10,Y,2,5
2021-01-01,GEN Z,2020-08-21,2021-01-25,2021-02-06,,2021-02-06,10,24,Y,36,-1,0,N,>30,-1
2021-01-01,GEN Z,2019-10-26,2021-01-17,2021-02-01,2021-02-04,2021-11-14,10,16,Y,31,34,0,Y,>30,>30
2021-01-01,GEN Y,2020-12-28,,2021-01-05,2021-01-09,2021-01-09,10,-1,N,4,8,10,N,4,8
2021-01-02,GEN Z,2020-03-22,,,,2021-01-02,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2017-10-13,2021-02-02,2021-02-02,2021-02-02,2021-09-11,10,31,Y,31,31,0,N,>30,>30
2021-01-02,GEN Y,2020-02-08,2021-01-13,2021-01-14,,2021-04-14,10,11,Y,12,-1,0,N,12,-1
2021-01-02,GEN Y,2019-09-23,,,,2021-01-02,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2019-06-16,2021-01-11,2021-01-06,2021-01-15,2021-11-15,10,9,Y,4,13,10,Y,4,13
2021-01-02,GEN Y,2020-12-03,2021-01-11,2021-02-22,2021-04-13,2021-11-11,10,9,Y,51,101,0,Y,>30,>30
2021-01-02,GEN Y,2020-12-16,2021-01-12,2021-01-23,2021-01-23,2021-01-23,10,10,Y,21,21,10,N,21,21
2021-01-02,GEN Z,2020-02-03,2021-01-12,2021-01-02,2021-01-11,2021-11-11,10,10,Y,0,9,10,Y,0,9
2021-01-02,GEN Y,2020-05-06,2021-06-25,2021-01-19,2021-01-31,2021-11-06,10,174,Y,17,29,10,Y,17,29
2021-01-02,GEN X,2020-07-11,2021-01-08,2021-01-31,2021-02-03,2021-11-13,10,6,Y,29,32,0,Y,29,>30
2021-01-02,GEN Y,2019-08-27,,,,2021-08-28,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2020-04-13,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2020-11-05,2021-01-18,2021-01-18,2021-01-20,2021-11-13,10,16,Y,16,18,10,Y,16,18
